,Team,Season,Goals For,Total Shots,Total PIM,Avg Age,Team +/-,Sum OPS,Sum DPS,Highest Scorer PTS,Highest G,Highest A,GP,Playoffs
197,VAN,2012,241,2583,1039,27.6,159,47.5,43.7,81,30,67,82,1
183,WPG,2012,221,2471,901,25.8,-37,39.7,29.6,64,30,47,82,0
202,WSH,2012,218,2295,751,27.2,-18,38.0,34.5,65,38,35,82,1
0,ANA,2013,228,2301,896,27.3,165,42.88,44.08,83,25,58,82,1
1,ARI,2013,206,2531,840,27.7,41,33.83,36.22,51,22,35,82,0
2,BOS,2013,216,2659,973,27.7,189,37.41,47.32,61,30,39,82,1
3,BUF,2013,201,2287,1062,26.5,-78,31.6,28.87,70,34,35,82,0
4,CAR,2013,216,2639,905,26.1,-177,37.24,20.33,90,39,59,82,0
5,CBJ,2013,196,2191,1016,25.8,15,29.04,42.37,51,22,30,82,0
6,CGY,2013,223,2255,893,27.3,-300,39.08,22.16,55,26,40,82,0
7,CHI,2013,254,2552,748,26.5,367,53.47,52.79,93,39,54,82,1
8,COL,2013,194,2417,1007,26.0,-189,28.53,24.43,73,30,44,82,0
9,DAL,2013,218,2154,1033,27.4,-64,38.78,29.72,56,23,41,82,0
10,DET,2013,208,2471,790,27.5,61,34.17,45.27,83,25,63,82,1
11,EDM,2013,210,2195,864,27.0,-114,34.68,32.63,85,29,58,82,0
12,FLA,2013,186,2391,913,27.3,-452,23.58,15.38,59,25,39,82,0
13,LAK,2013,223,2444,804,26.6,87,40.49,45.44,71,44,54,82,1
14,MIN,2013,201,2360,920,26.8,-70,31.95,39.29,64,30,47,82,1
15,MTL,2013,249,2507,1066,27.3,133,52.45,40.15,66,25,46,82,1
16,NJD,2013,187,2326,845,28.4,-102,24.09,39.97,61,25,37,82,0
17,NSH,2013,186,2125,787,26.1,-117,24.77,32.8,47,20,32,82,0
18,NYI,2013,230,2536,777,27.8,-46,43.05,32.97,80,47,49,82,1
19,NYR,2013,215,2533,738,27.4,167,36.9,46.3,75,35,44,82,1
20,OTT,2013,191,2717,1108,25.6,58,27.67,49.03,49,20,41,82,1
21,PHI,2013,225,2381,1259,27.5,-152,41.34,31.09,82,37,59,82,0
22,PIT,2013,276,2456,941,28.5,281,62.35,42.54,95,37,70,82,1
23,SJS,2013,198,2606,883,28.1,-71,30.58,44.42,68,35,56,82,1
24,STL,2013,211,2282,879,27.1,13,36.05,47.83,61,30,37,82,1
25,TBL,2013,251,2260,968,26.5,-1,52.45,25.8,102,49,73,82,0
26,TOR,2013,247,2159,1305,26.4,29,51.25,33.83,88,34,54,82,1
27,VAN,2013,208,2306,1033,27.2,51,34.17,41.85,76,22,58,82,1
28,WPG,2013,215,2372,900,26.3,-68,37.07,29.55,78,32,47,82,0
29,WSH,2013,249,2306,867,27.2,68,50.91,34.85,95,54,68,82,1
264,ANA,2014,263,2569,882,27.2,305,56.800000000000004,42.0,87,43,56,82,1
258,ARI,2014,210,2499,792,27.2,-74,34.4,34.8,53,24,45,82,0
242,BOS,2014,258,2613,876,26.6,392,55.1,51.9,69,30,50,82,1
252,BUF,2014,150,2156,889,25.6,-400,8.9,27.8,44,21,27,80,0
266,CAR,2014,205,2561,640,27.0,-104,32.3,34.7,61,33,40,82,0
245,CBJ,2014,226,2431,902,26.3,19,41.7,39.199999999999996,63,33,44,82,1
269,CGY,2014,202,2199,846,25.6,-182,30.900000000000002,32.5,54,26,37,82,0
265,CHI,2014,261,2715,681,26.8,218,55.6,39.8,78,34,55,82,1
268,COL,2014,245,2420,869,26.9,129,49.2,36.7,70,28,47,82,1
244,DAL,2014,231,2597,886,27.9,34,42.7,35.1,84,37,47,81,1
256,DET,2014,217,2456,705,27.3,-16,37.2,35.2,49,28,41,82,1
246,EDM,2014,199,2208,946,26.7,-330,30.4,21.9,80,28,53,80,0
249,FLA,2014,188,2451,838,27.6,-196,25.3,23.2,38,21,30,82,0
259,LAK,2014,198,2595,870,26.9,179,29.7,55.0,70,29,41,82,1
247,MIN,2014,199,2180,769,27.2,50,29.599999999999998,43.9,60,30,43,82,1
251,MTL,2014,209,2330,1045,27.4,4,34.9,42.7,60,39,43,82,1
240,NJD,2014,197,2199,634,28.8,-51,28.8,44.6,67,25,43,82,0
267,NSH,2014,214,2382,790,26.2,-98,36.5,31.9,56,24,33,81,0
253,NYI,2014,216,2537,1007,26.2,-194,36.8,24.3,69,27,42,82,0
248,NYR,2014,214,2719,809,27.4,58,35.6,46.300000000000004,59,26,40,82,1
263,OTT,2014,229,2692,1086,26.1,-90,42.699999999999996,23.2,74,26,54,82,0
260,PHI,2014,233,2490,1170,27.7,-32,44.4,33.3,86,29,58,82,1
255,PIT,2014,242,2454,818,27.6,44,48.4,43.1,104,36,68,82,1
261,SJS,2014,239,2851,727,28.1,144,46.4,45.4,79,41,65,82,1
254,STL,2014,239,2402,1146,27.5,164,46.699999999999996,49.199999999999996,62,33,43,82,1
250,TBL,2014,232,2446,820,26.0,114,43.4,39.9,61,29,42,82,1
241,TOR,2014,222,2290,1032,26.1,-126,40.4,25.2,80,37,43,82,0
257,VAN,2014,191,2527,1101,26.6,-102,27.1,38.6,50,25,39,81,0
243,WPG,2014,219,2516,953,25.5,-18,39.300000000000004,33.699999999999996,69,28,41,82,0
262,WSH,2014,225,2412,942,26.1,-114,40.1,31.0,79,51,61,82,0
293,ANA,2015,228,2458,875,26.7,86,42.2,37.1,70,33,45,82,1
296,ARI,2015,165,2393,766,26.3,-422,16.5,21.6,43,23,37,82,0
272,BOS,2015,209,2546,764,26.2,62,34.2,40.7,55,24,32,82,0
282,BUF,2015,153,1984,833,25.4,-419,11.3,20.0,46,20,28,82,0
295,CAR,2015,183,2524,537,26.0,-270,23.1,37.4,54,23,34,82,0
275,CBJ,2015,227,2366,966,25.9,-93,42.2,27.5,73,31,45,82,0
299,CGY,2015,237,2252,608,25.9,45,46.8,39.8,76,31,45,81,1
294,CHI,2015,220,2777,570,26.8,114,38.8,46.9,66,28,39,82,1
298,COL,2015,209,2286,753,26.5,-70,34.5,34.2,59,29,41,82,0
274,DAL,2015,257,2558,771,27.1,-48,54.8,25.9,87,37,52,82,0
286,DET,2015,231,2429,702,27.7,14,43.300000000000004,38.2,66,29,49,82,1
276,EDM,2015,193,2331,667,25.3,-371,27.4,18.7,63,24,39,82,0
279,FLA,2015,198,2516,715,27.8,-21,29.8,37.3,54,24,39,82,0
288,LAK,2015,218,2536,734,27.2,79,38.3,44.199999999999996,64,28,48,82,0
277,MIN,2015,227,2522,714,27.3,106,41.8,44.5,62,33,36,82,1
281,MTL,2015,214,2334,821,27.1,145,37.0,47.5,67,37,45,82,1
270,NJD,2015,176,2008,746,29.2,-115,20.900000000000002,38.9,43,27,27,82,0
297,NSH,2015,226,2614,683,27.0,123,41.6,43.0,63,26,47,82,1
283,NYI,2015,245,2771,682,26.6,81,49.4,35.6,86,38,48,82,1
278,NYR,2015,248,2582,696,27.2,276,51.1,46.9,69,42,41,82,1
292,OTT,2015,232,2539,821,25.9,100,43.7,38.4,66,27,45,82,1
289,PHI,2015,212,2413,809,26.8,-52,35.5,33.5,81,28,59,82,0
285,PIT,2015,217,2594,1099,27.3,26,38.3,41.8,84,28,56,82,1
290,SJS,2015,224,2591,750,26.7,-64,40.5,34.1,70,37,49,82,0
284,STL,2015,239,2535,890,28.2,138,46.300000000000004,45.0,73,37,40,81,1
280,TBL,2015,259,2428,794,26.0,207,55.0,41.4,72,43,47,82,1
271,TOR,2015,206,2397,813,26.7,-238,33.3,24.2,61,27,36,82,0
287,VAN,2015,236,2453,860,26.9,31,46.7,37.1,76,31,56,82,1
273,WPG,2015,223,2439,1054,26.3,114,41.699999999999996,42.6,62,26,38,82,1
291,WSH,2015,237,2419,847,27.0,126,46.0,43.5,81,53,60,82,1
323,ANA,2016,215,2483,1005,26.6,31,37.1,47.2,63,34,50,82,1
326,ARI,2016,208,2265,999,26.7,-96,33.5,29.900000000000002,55,28,34,82,0
302,BOS,2016,236,2620,919,27.1,20,45.1,34.5,68,37,46,82,0
312,BUF,2016,199,2418,731,25.2,-144,28.900000000000002,36.4,60,24,39,82,0
325,CAR,2016,196,2451,544,25.3,-167,28.1,37.1,51,28,28,82,0
305,CBJ,2016,213,2387,981,25.3,-133,35.3,27.5,53,31,32,82,0
